 1297,きみにちょっとしたものをもってきたよ。,4724,I brought you a little something.
4702,何かしてみましょう。,1276,Let's try something.
4703,私は眠らなければなりません。,1277,I have to go to sleep.
4703,私は眠らなければなりません。,1009343,I have to sleep.
4704,何してるの？,16492,What are you doing?
4705,今日は６月１８日で、ムーリエルの誕生日です！,1280,Today is June 18th and it is Muiriel's birthday!
4706,お誕生日おめでとうムーリエル！,355041,"Happy birthday, Muiriel!"
4707,ムーリエルは２０歳になりました。,1282,Muiriel is 20 now.
4707,ムーリエルは２０歳になりました。,1415809,Muiriel has turned twenty.
4708,パスワードは「Muiriel」です。,1283,"The password is ""Muiriel""."
4709,すぐに戻ります。,1284,I will be back soon.
4709,すぐに戻ります。,52115,I'll be back soon.
4709,すぐに戻ります。,53489,I'll be right back.
4709,すぐに戻ります。,593653,I'll be back in a jiffy.
4709,すぐに戻ります。,593670,I'll be back right away.
4709,すぐに戻ります。,1009347,I'll return immediately.
4710,知らない。,349064,I don't know.
4711,何と言ったら良いか分かりません。,1286,I'm at a loss for words.
4711,何と言ったら良いか分かりません。,436541,I don't know what to say.
4711,何と言ったら良いか分かりません。,1009345,I don't know what I should say.
4712,きりがない。,1287,This is never going to end.
4713,何と言ったらいいか・・・。,1288,I just don't know what to say.
4713,何と言ったらいいか・・・。,36019,What should I say?
4715,私は山にいました。,1290,I was in the mountains.
4716,それは最近の写真？,1291,Is it a recent picture?
4716,それは最近の写真？,1009353,Is that a recent photo?
4717,時間があるか分かりません。,1292,I don't know if I have the time.
4717,時間があるか分かりません。,1009352,I don't know if there is time.
4718,先程、どういうわけかマイクが入りませんでした。,328546,For some reason the microphone didn't work earlier.
4720,この世界の教育にはがっかりしてしまう。,1294,Education in this world disappoints me.
4726,私は一日に100ユーロ稼ぎます。,1299,I make €100 a day.
4726,私は一日に100ユーロ稼ぎます。,1009351,I make 100 euros per day.
4727,すぐに諦めて昼寝をするかも知れない。,1300,I may give up soon and just nap instead.
4727,すぐに諦めて昼寝をするかも知れない。,915342,I may give up soon and just take a nap.
4728,それはあなたが一人になりたくないからです。,1301,It's because you don't want to be alone.
4728,それはあなたが一人になりたくないからです。,1009350,That's because you don't want to be alone.
4729,そんなことは起きないでしょう。,1302,That won't happen.
4729,そんなことは起きないでしょう。,1009349,That sort of thing won't happen.
4730,彼は時々変です。,1303,Sometimes he can be a strange guy.
4730,彼は時々変です。,1009348,He's strange sometimes.
4731,あなたの勉強を邪魔しないようにします。,1304,I'll do my best not to disturb your studying.
4732,みんなもそうなのかな、と思うことくらいしかできない。,1305,I can only wonder if this is the same for everyone else.
4733,長い目で見れば違ってくると思います。,1306,I suppose it's different when you think about it over the long term.
4734,心配しないで。,20391,Don't worry about it!
4734,心配しないで。,433745,Don't worry about it.
4734,心配しないで。,506446,Don't worry.
4735,会えなくて淋しい。,1308,I miss you.
4736,明日帰ったら電話します。,1309,I'll call them tomorrow when I come back.
4736,明日帰ったら電話します。,895924,I'll call them tomorrow when I return home.
4736,明日帰ったら電話します。,1009357,I'll call after going home tomorrow.
4737,私はいつも不思議な性格の方が好きだった。,1310,I always liked mysterious characters more.
4737,私はいつも不思議な性格の方が好きだった。,1009356,I always liked strange personalities.
4738,眠った方がいいよ。,1311,You should sleep.
4739,行くよ。,1312,I'm going to go.
